feature value,n_samples,precision,recall,fbeta
 Private,4579,0.7247259439707674,0.5991943605236657,0.6560088202866594
 Local-gov,427,0.7394957983193278,0.6330935251798561,0.6821705426356588
 Self-emp-inc,208,0.8425925925925926,0.7165354330708661,0.774468085106383
 Self-emp-not-inc,511,0.6979166666666666,0.47183098591549294,0.5630252100840336
 Federal-gov,179,0.7681159420289855,0.7361111111111112,0.7517730496453902
 ?,348,0.7083333333333334,0.4722222222222222,0.5666666666666667
 State-gov,253,0.7384615384615385,0.7384615384615385,0.7384615384615385
 Without-pay,5,0.0,0.0,0.0
 Never-worked,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 HS-grad,2076,0.601063829787234,0.35646687697160884,0.44752475247524753
 7th-8th,116,0.6,0.42857142857142855,0.5
 Bachelors,1075,0.7304964539007093,0.7136258660508084,0.72196261682243
 Some-college,1519,0.7455357142857143,0.5251572327044025,0.6162361623616236
 Assoc-voc,266,0.6896551724137931,0.5263157894736842,0.5970149253731344
 Assoc-acdm,221,0.6666666666666666,0.5660377358490566,0.6122448979591837
 Masters,324,0.8159203980099502,0.8118811881188119,0.813895781637717
 9th,106,1.0,0.09090909090909091,0.16666666666666669
 10th,187,1.0,0.2,0.33333333333333337
 12th,84,0.6666666666666666,0.3333333333333333,0.4444444444444444
 11th,238,1.0,0.4444444444444444,0.6153846153846153
 Doctorate,73,0.8596491228070176,0.9423076923076923,0.8990825688073394
 1st-4th,38,1.0,0.5,0.6666666666666666
 Prof-school,114,0.8314606741573034,0.9367088607594937,0.880952380952381
 5th-6th,66,1.0,0.25,0.4
 Preschool,10,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Never-married,2126,0.7872340425531915,0.3490566037735849,0.4836601307189543
 Married-civ-spouse,2984,0.7344398340248963,0.6575037147102526,0.6938455507644062
 Widowed,197,1.0,0.15384615384615385,0.2666666666666667
 Separated,208,1.0,0.46153846153846156,0.631578947368421
 Divorced,900,0.6904761904761905,0.3333333333333333,0.4496124031007752
 Married-spouse-absent,92,0.0,0.0,0.0
 Married-AF-spouse,6,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,778,0.6511627906976745,0.49411764705882355,0.5618729096989967
 Exec-managerial,824,0.793010752688172,0.7564102564102564,0.774278215223097
 Adm-clerical,755,0.5930232558139535,0.4811320754716981,0.5312500000000001
 Machine-op-inspct,415,0.6521739130434783,0.25,0.3614457831325301
 Sales,749,0.6853932584269663,0.6387434554973822,0.6612466124661246
 Prof-specialty,820,0.7960339943342776,0.7242268041237113,0.7584345479082321
 Transport-moving,335,0.5666666666666667,0.27419354838709675,0.3695652173913043
 Other-service,682,0.5,0.07142857142857142,0.125
 Tech-support,175,0.72,0.72,0.72
 Protective-serv,134,0.7142857142857143,0.5555555555555556,0.6250000000000001
 Handlers-cleaners,249,1.0,0.19047619047619047,0.32
 ?,351,0.7083333333333334,0.4722222222222222,0.5666666666666667
 Farming-fishing,208,0.6923076923076923,0.34615384615384615,0.46153846153846156
 Priv-house-serv,36,0.0,0.0,0.0
 Armed-Forces,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1667,0.7407407407407407,0.3409090909090909,0.4669260700389105
 Husband,2625,0.7322097378277154,0.6582491582491582,0.6932624113475176
 Unmarried,683,0.8461538461538461,0.3055555555555556,0.44897959183673475
 Own-child,1008,1.0,0.15384615384615385,0.2666666666666667
 Wife,314,0.7555555555555555,0.6623376623376623,0.7058823529411764
 Other-relative,216,0.6666666666666666,0.2857142857142857,0.4
feature value,n_samples,precision,recall,fbeta
 White,5591,0.7349498327759197,0.6164095371669004,0.6704805491990846
 Black,619,0.7931034482758621,0.5111111111111111,0.6216216216216216
 Asian-Pac-Islander,201,0.725,0.6041666666666666,0.6590909090909091
 Amer-Indian-Eskimo,57,0.5,0.3333333333333333,0.4
 Other,45,0.75,0.75,0.75
feature value,n_samples,precision,recall,fbeta
 Male,4406,0.73215859030837,0.6196868008948546,0.6712439418416801
 Female,2107,0.7664670658682635,0.5493562231759657,0.64
feature value,n_samples,precision,recall,fbeta
 United-States,5825,0.7412353923205343,0.6098901098901099,0.6691785983421251
 Mexico,141,0.75,0.5,0.6
 ?,112,0.75,0.6,0.6666666666666665
 El-Salvador,25,1.0,0.8,0.888888888888889
 Hong,3,1.0,0.5,0.6666666666666666
 India,20,0.7,0.875,0.7777777777777777
 Guatemala,16,0.0,0.0,0.0
 Philippines,41,0.5,0.45454545454545453,0.47619047619047616
 England,18,0.6,1.0,0.7499999999999999
 Puerto-Rico,27,0.3333333333333333,1.0,0.5
 Columbia,13,0.5,1.0,0.6666666666666666
 Cuba,17,0.8333333333333334,1.0,0.9090909090909091
 Haiti,13,0.5,1.0,0.6666666666666666
 Germany,30,0.5555555555555556,0.5555555555555556,0.5555555555555556
 China,14,0.8,1.0,0.888888888888889
 Japan,14,1.0,0.5,0.6666666666666666
 Peru,4,0.5,0.5,0.5
 Nicaragua,8,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),4,0.0,0.0,0.0
 Trinadad&Tobago,3,0.0,0.0,0.0
 Canada,24,0.8,0.5714285714285714,0.6666666666666666
 Iran,9,1.0,0.25,0.4
 Poland,14,0.6666666666666666,0.6666666666666666,0.6666666666666666
 Cambodia,3,0.0,0.0,0.0
 Yugoslavia,7,1.0,0.3333333333333333,0.5
 South,12,0.5,1.0,0.6666666666666666
 Vietnam,14,0.0,0.0,0.0
 Laos,2,0.0,0.0,0.0
 Ecuador,6,1.0,0.5,0.6666666666666666
 Scotland,2,0.0,0.0,0.0
 Italy,11,1.0,0.75,0.8571428571428571
 Dominican-Republic,15,0.0,0.0,0.0
 Ireland,5,0.0,0.0,0.0
 Jamaica,16,0.0,0.0,0.0
 Greece,7,0.0,0.0,0.0
 France,4,0.0,0.0,0.0
 Portugal,7,0.0,0.0,0.0
 Taiwan,4,1.0,1.0,1.0
 Thailand,2,0.0,0.0,0.0
 Honduras,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4570,0.7080459770114943,0.6324435318275154,0.6681127982646421
 ?,370,0.5757575757575758,0.5428571428571428,0.5588235294117646
 State-gov,233,0.8253968253968254,0.7428571428571429,0.7819548872180451
 Self-emp-inc,230,0.7956204379562044,0.8449612403100775,0.8195488721804511
 Local-gov,406,0.6262626262626263,0.5486725663716814,0.5849056603773586
 Self-emp-not-inc,498,0.7090909090909091,0.5611510791366906,0.6265060240963856
 Federal-gov,202,0.8208955223880597,0.6707317073170732,0.738255033557047
 Without-pay,3,0.0,0.0,0.0
 Never-worked,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 11th,238,1.0,0.16666666666666666,0.2857142857142857
 Bachelors,1098,0.7468354430379747,0.7763157894736842,0.7612903225806452
 HS-grad,2134,0.5928853754940712,0.46439628482972134,0.5208333333333334
 Doctorate,76,0.7903225806451613,0.9245283018867925,0.8521739130434782
 Some-college,1409,0.6544502617801047,0.4734848484848485,0.5494505494505495
 Assoc-voc,253,0.6578947368421053,0.45454545454545453,0.5376344086021505
 10th,182,0.5714285714285714,0.3333333333333333,0.4210526315789474
 Assoc-acdm,220,0.6792452830188679,0.5901639344262295,0.631578947368421
 Masters,336,0.8092783505154639,0.8263157894736842,0.8177083333333334
 1st-4th,33,0.0,0.0,0.0
 Preschool,6,0.0,0.0,0.0
 Prof-school,118,0.8367346938775511,0.9318181818181818,0.8817204301075268
 9th,117,1.0,0.4,0.5714285714285715
 12th,94,1.0,0.2857142857142857,0.4444444444444445
 5th-6th,68,0.0,0.0,0.0
 7th-8th,131,1.0,0.2727272727272727,0.42857142857142855
feature value,n_samples,precision,recall,fbeta
 Never-married,2159,0.8627450980392157,0.4835164835164835,0.6197183098591549
 Married-civ-spouse,2974,0.7073750991276765,0.6772968868640851,0.6920093095422809
 Divorced,878,0.8,0.4235294117647059,0.5538461538461539
 Widowed,194,0.7142857142857143,0.29411764705882354,0.4166666666666667
 Separated,204,0.9,0.5625,0.6923076923076923
 Married-spouse-absent,97,1.0,0.4166666666666667,0.5882352941176471
 Married-AF-spouse,7,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Handlers-cleaners,261,0.75,0.23076923076923078,0.3529411764705882
 Transport-moving,322,0.625,0.390625,0.4807692307692308
 Other-service,685,1.0,0.15625,0.2702702702702703
 Exec-managerial,797,0.8031088082901554,0.8115183246073299,0.8072916666666666
 ?,371,0.5757575757575758,0.5428571428571428,0.5588235294117646
 Prof-specialty,869,0.7623762376237624,0.7837150127226463,0.7728983688833124
 Adm-clerical,764,0.5393258426966292,0.43636363636363634,0.4824120603015076
 Sales,710,0.6687116564417178,0.6337209302325582,0.6507462686567165
 Protective-serv,107,0.6896551724137931,0.5405405405405406,0.6060606060606061
 Farming-fishing,181,0.6666666666666666,0.3157894736842105,0.42857142857142855
 Craft-repair,804,0.6159420289855072,0.4722222222222222,0.5345911949685535
 Tech-support,179,0.6808510638297872,0.6037735849056604,0.64
 Machine-op-inspct,430,0.6451612903225806,0.39215686274509803,0.4878048780487804
 Priv-house-serv,31,0.0,0.0,0.0
 Armed-Forces,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1632,0.8064516129032258,0.4838709677419355,0.6048387096774193
 Husband,2608,0.7129963898916968,0.6804478897502153,0.6963420008814456
 Own-child,1048,1.0,0.3888888888888889,0.56
 Unmarried,719,0.9411764705882353,0.3333333333333333,0.49230769230769234
 Wife,331,0.6622516556291391,0.6535947712418301,0.6578947368421052
 Other-relative,175,1.0,0.42857142857142855,0.6
feature value,n_samples,precision,recall,fbeta
 White,5553,0.7169811320754716,0.6542324246771879,0.6841710427606901
 Black,615,0.6792452830188679,0.5142857142857142,0.5853658536585366
 Asian-Pac-Islander,224,0.8260869565217391,0.5671641791044776,0.672566371681416
 Other,51,1.0,0.2,0.33333333333333337
 Amer-Indian-Eskimo,70,0.5714285714285714,0.6666666666666666,0.6153846153846153
feature value,n_samples,precision,recall,fbeta
 Male,4327,0.7230125523012553,0.653555219364599,0.6865315852205005
 Female,2186,0.6902173913043478,0.5772727272727273,0.6287128712871287
feature value,n_samples,precision,recall,fbeta
 United-States,5818,0.7162162162162162,0.6463414634146342,0.6794871794871794
 Italy,16,1.0,0.4,0.5714285714285715
 ?,118,0.7241379310344828,0.7,0.711864406779661
 Poland,16,0.6666666666666666,0.5,0.5714285714285715
 Mexico,119,1.0,0.2,0.33333333333333337
 Canada,35,0.8888888888888888,0.7272727272727273,0.7999999999999999
 China,18,1.0,0.8571428571428571,0.923076923076923
 Columbia,12,0.0,0.0,0.0
 Germany,25,1.0,0.5,0.6666666666666666
 India,25,0.8181818181818182,0.75,0.7826086956521738
 Jamaica,13,0.0,0.0,0.0
 Philippines,46,0.7692307692307693,0.625,0.6896551724137931
 Haiti,10,0.5,1.0,0.6666666666666666
 Japan,12,1.0,0.6,0.7499999999999999
 Laos,5,0.0,0.0,0.0
 Dominican-Republic,14,0.0,0.0,0.0
 Peru,8,0.0,0.0,0.0
 Puerto-Rico,17,0.0,0.0,0.0
 Hungary,7,1.0,0.5,0.6666666666666666
 Cuba,18,0.5714285714285714,0.8,0.6666666666666666
 Ireland,8,1.0,1.0,1.0
 Nicaragua,10,0.0,0.0,0.0
 France,5,1.0,0.75,0.8571428571428571
 South,16,0.6666666666666666,0.5,0.5714285714285715
 England,19,0.5,0.6,0.5454545454545454
 El-Salvador,23,1.0,1.0,1.0
 Iran,7,0.25,0.5,0.3333333333333333
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Yugoslavia,4,0.5,1.0,0.6666666666666666
 Guatemala,10,0.0,0.0,0.0
 Vietnam,12,0.0,0.0,0.0
 Holand-Netherlands,1,0.0,0.0,0.0
 Thailand,5,0.0,0.0,0.0
 Honduras,2,0.0,0.0,0.0
 Scotland,3,1.0,1.0,1.0
 Ecuador,5,0.0,0.0,0.0
 Taiwan,11,1.0,0.75,0.8571428571428571
 Cambodia,4,1.0,0.5,0.6666666666666666
 Trinadad&Tobago,4,0.0,0.0,0.0
 Hong,4,0.0,0.0,0.0
 Greece,5,0.0,0.0,0.0
 Portugal,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
